sample_id,task,cohort,parent_6500_verified,native,counterfactual,effect,full_reset,explained_fraction,component_layers,component_count,boundary
ruler_fwe_16k:0010,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,"[0, 6, 12, 18, 24]",5,4
ruler_fwe_16k:0017,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[18],1,2
ruler_fwe_16k:0088,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,5
ruler_fwe_16k:0108,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,2
ruler_fwe_16k:0218,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,,[24],1,2
ruler_fwe_16k:0227,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.7333333333333333,0.2666666666666667,0.6666666666666666,0.8,"[0, 6, 12, 18, 24]",5,4
ruler_fwe_16k:0242,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.4666666666666667,0.5333333333333333,1.0,,"[0, 6, 12, 18, 24]",5,7
ruler_fwe_16k:0254,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,0.6666666666666666,0.39999999999999997,0.26666666666666666,0.3333333333333333,0.8,"[0, 6, 12, 18, 24]",5,3
ruler_fwe_16k:0256,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,"[0, 6, 12, 18, 24]",5,7
ruler_fwe_16k:0260,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,4
ruler_fwe_16k:0263,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,0.6666666666666666,0.39999999999999997,0.26666666666666666,0.3333333333333333,0.8,"[0, 6, 12, 18, 24]",5,2
ruler_fwe_16k:0293,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[18],1,2
ruler_fwe_16k:0298,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,7
ruler_fwe_16k:0321,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.7333333333333333,0.2666666666666667,0.6666666666666666,0.8,"[0, 6, 12, 18, 24]",5,11
ruler_fwe_16k:0324,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,5
ruler_fwe_16k:0351,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[18],1,2
ruler_fwe_16k:0372,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,0.6666666666666666,0.39999999999999997,0.26666666666666666,0.3333333333333333,0.8,"[0, 6, 12, 18, 24]",5,2
ruler_fwe_16k:0373,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,2
ruler_fwe_16k:0386,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[12],1,2
ruler_fwe_16k:0402,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[12],1,9
ruler_fwe_16k:0472,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.7999999999999999,0.20000000000000007,0.6666666666666666,0.6000000000000001,"[0, 6, 12, 18, 24]",5,14
ruler_fwe_16k:0488,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[24],1,2
ruler_fwe_16k:0498,ruler_fwe_16k,DELETION_ELIGIBLE_151,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,1.0,[6],1,2
ruler_niah_multikey_1_16k:0432,ruler_niah_multikey_1_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[6],1,2
ruler_niah_multikey_2_16k:0045,ruler_niah_multikey_2_16k,DELETION_ELIGIBLE_151,true,1.0,0.4,0.6,0.0,0.6,"[0, 6, 12, 18, 24]",5,3
ruler_niah_multikey_2_16k:0116,ruler_niah_multikey_2_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[12],1,2
ruler_niah_multikey_2_16k:0331,ruler_niah_multikey_2_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[18],1,2
ruler_niah_multikey_2_16k:0482,ruler_niah_multikey_2_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[6],1,2
ruler_niah_multikey_3_16k:0071,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,"[0, 6, 12, 18, 24]",5,3
ruler_niah_multikey_3_16k:0074,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,1.0,0.0,1.0,,[0],1,3
ruler_niah_multikey_3_16k:0108,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[24],1,2
ruler_niah_multikey_3_16k:0145,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[0],1,4
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.4,0.6,0.0,0.6,"[0, 6, 12, 18, 24]",5,3
ruler_niah_multikey_3_16k:0208,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[6],1,2
ruler_niah_multikey_3_16k:0212,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[18],1,2
ruler_niah_multikey_3_16k:0217,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,1.0,0.0,1.0,,[24],1,2
ruler_niah_multikey_3_16k:0220,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[0],1,2
ruler_niah_multikey_3_16k:0253,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.4,0.6,0.0,0.6,"[0, 6, 12, 18, 24]",5,8
ruler_niah_multikey_3_16k:0362,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.2,0.8,0.0,0.8,"[0, 6, 12, 18, 24]",5,5
ruler_niah_multikey_3_16k:0429,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.0,1.0,0.0,1.0,[0],1,2
ruler_niah_multikey_3_16k:0464,ruler_niah_multikey_3_16k,DELETION_ELIGIBLE_151,true,1.0,0.6,0.4,0.0,0.4,"[0, 6, 12, 18, 24]",5,11
ruler_niah_multiquery_16k:0001,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,1.0,,[24],1,4
ruler_niah_multiquery_16k:0063,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[24],1,2
ruler_niah_multiquery_16k:0068,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[24],1,5
ruler_niah_multiquery_16k:0082,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,1.0,0.0,1.0,,[24],1,6
ruler_niah_multiquery_16k:0100,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,1.0,0.0,1.0,,[24],1,2
ruler_niah_multiquery_16k:0129,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[6],1,2
ruler_niah_multiquery_16k:0147,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[12],1,2
ruler_niah_multiquery_16k:0201,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.6,0.4,0.5,0.8,"[0, 6, 12, 18, 24]",5,2
ruler_niah_multiquery_16k:0381,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[18],1,2
ruler_niah_multiquery_16k:0404,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[24],1,2
ruler_niah_multiquery_16k:0454,ruler_niah_multiquery_16k,DELETION_ELIGIBLE_151,true,1.0,0.5,0.5,0.5,1.0,[0],1,2
ruler_niah_multivalue_16k:0060,ruler_niah_multivalue_16k,DELETION_ELIGIBLE_151,true,1.0,0.75,0.25,0.75,1.0,[6],1,2
